State,District,Year,cotton_area,cotton_production,cotton_yield
Gujarat,Anand,2017-2018,"1,888.00","6,998.00",3.71
Gujarat,Anand,2018-2019,"2,047.00","7,846.00",3.83
Gujarat,Anand,2019-2020,"3,006.00","7,858.00",2.61
Gujarat,Anand,2020-2021,"2,183.00","6,783.00",3.11
Gujarat,Anand,2021-2022,"1,421.00",42.12,0.03
Gujarat,Anand,2022-2023,"1,122.00","3,642.00",3.25
Gujarat,Aravalli,2014-2015,"65,435.00","2,10,272.00",3.21
Gujarat,Aravalli,2015-2016,"51,848.00","1,70,392.00",3.29
Gujarat,Aravalli,2016-2017,"37,665.00","1,15,296.00",3.06
Gujarat,Aravalli,2017-2018,"39,884.00","1,32,798.00",3.33
Gujarat,Aravalli,2018-2019,"44,495.00","1,80,079.00",4.05
Gujarat,Aravalli,2019-2020,"32,370.00","95,104.00",2.94
Gujarat,Aravalli,2020-2021,"16,571.00","55,309.00",3.34
Gujarat,Aravalli,2021-2022,"13,767.00",437.67,0.03
Gujarat,Aravalli,2022-2023,"28,275.00","89,692.00",3.17
Gujarat,Banas kantha,2013-2014,"45,750.00","63,061.00",1.38
Gujarat,Banas kantha,2014-2015,"41,391.00","1,31,413.00",3.17
Gujarat,Banas kantha,2015-2016,"34,432.00","80,868.00",2.35
Gujarat,Banas kantha,2016-2017,"33,311.00","1,28,896.00",3.87
Gujarat,Banas kantha,2017-2018,"18,721.00","77,618.00",4.15
Gujarat,Banas kantha,2018-2019,"46,061.00","1,52,312.00",3.31
Gujarat,Banas kantha,2019-2020,"43,785.00","1,27,483.00",2.91
Gujarat,Banas kantha,2020-2021,"41,625.00","1,36,776.00",3.29
Gujarat,Banas kantha,2021-2022,"39,910.00","1,410.04",0.04
Gujarat,Banas kantha,2022-2023,"34,430.00","1,22,456.00",3.56
Gujarat,Bharuch,2013-2014,"1,00,750.00","2,21,504.00",2.2
Gujarat,Bharuch,2014-2015,"99,570.00","2,28,811.00",2.3
Gujarat,Bharuch,2015-2016,"74,990.00","1,74,573.00",2.33
Gujarat,Bharuch,2016-2017,"51,598.00","1,14,243.00",2.21
Gujarat,Bharuch,2017-2018,"89,755.00","2,22,407.00",2.48
Gujarat,Bharuch,2018-2019,"78,338.00","2,37,288.00",3.03
Gujarat,Bharuch,2019-2020,"96,387.00","2,57,367.00",2.67
Gujarat,Bharuch,2020-2021,"93,277.00","2,59,631.00",2.78
Gujarat,Bharuch,2021-2022,"79,641.00","2,274.35",0.03
Gujarat,Bharuch,2022-2023,"91,694.00","2,88,319.00",3.14
Gujarat,Bhavnagar,2013-2014,"3,24,899.00","11,17,022.00",3.44
Gujarat,Bhavnagar,2014-2015,"2,10,765.00","5,61,520.00",2.66
Gujarat,Bhavnagar,2015-2016,"2,21,641.00","5,74,491.00",2.59
Gujarat,Bhavnagar,2016-2017,"2,02,180.00","5,17,619.00",2.56
Gujarat,Bhavnagar,2017-2018,"2,16,100.00","8,54,262.00",3.95
Gujarat,Bhavnagar,2018-2019,"2,24,529.00","4,75,359.00",2.12
Gujarat,Bhavnagar,2019-2020,"2,37,168.00","8,84,132.00",3.73
Gujarat,Bhavnagar,2020-2021,"2,24,301.00","7,32,920.00",3.27
Gujarat,Bhavnagar,2021-2022,"2,22,684.00","5,792.79",0.03
Gujarat,Bhavnagar,2022-2023,"2,38,908.00","7,43,689.00",3.11
Gujarat,Botad,2014-2015,"1,61,279.00","7,29,577.00",4.52
Gujarat,Botad,2015-2016,"1,86,878.00","7,00,925.00",3.75
Gujarat,Botad,2016-2017,"1,77,543.00","4,30,267.00",2.42
Gujarat,Botad,2017-2018,"2,10,231.00","8,65,453.00",4.12
Gujarat,Botad,2018-2019,"1,73,354.00","3,48,207.00",2.01
Gujarat,Botad,2019-2020,"1,73,643.00","3,91,745.00",2.26
Gujarat,Botad,2020-2021,"1,48,227.00","4,61,027.00",3.11
Gujarat,Botad,2021-2022,"1,38,150.00","5,514.76",0.04
Gujarat,Botad,2022-2023,"1,50,451.00","7,89,312.00",5.25
Gujarat,Chhotaudepur,2014-2015,"84,520.00","4,02,043.00",4.76
Gujarat,Chhotaudepur,2015-2016,"80,380.00","3,08,785.00",3.84
Gujarat,Chhotaudepur,2016-2017,"73,775.00","3,32,251.00",4.5
Gujarat,Chhotaudepur,2017-2018,"75,130.00","3,51,590.00",4.68
Gujarat,Chhotaudepur,2018-2019,"80,265.00","4,33,262.00",5.4
Gujarat,Chhotaudepur,2019-2020,"87,081.00","3,91,314.00",4.49
Gujarat,Chhotaudepur,2020-2021,"90,697.00","3,54,349.00",3.91
Gujarat,Chhotaudepur,2021-2022,"88,111.00","3,770.64",0.04
Gujarat,Chhotaudepur,2022-2023,"1,03,793.00","3,91,288.00",3.77
Gujarat,Devbhumi dwarka,2014-2015,"47,350.00","2,05,164.00",4.33
Gujarat,Devbhumi dwarka,2015-2016,"44,770.00","42,834.00",0.96
Gujarat,Devbhumi dwarka,2016-2017,"27,775.00","73,460.00",2.64
Gujarat,Devbhumi dwarka,2017-2018,"23,147.00","1,12,103.00",4.84
Gujarat,Devbhumi dwarka,2018-2019,"21,326.00","31,479.00",1.48
Gujarat,Devbhumi dwarka,2019-2020,"10,707.00","44,852.00",4.19
Gujarat,Devbhumi dwarka,2020-2021,"4,847.00","17,637.00",3.64
Gujarat,Devbhumi dwarka,2021-2022,"4,220.00",131.4,0.03
Gujarat,Devbhumi dwarka,2022-2023,"10,219.00","38,986.00",3.82
Gujarat,Dohad,2013-2014,"1,812.00","4,139.00",2.28
Gujarat,Dohad,2014-2015,"1,126.00","1,956.00",1.74
Gujarat,Dohad,2015-2016,453,916,2.02
Gujarat,Dohad,2016-2017,333,562,1.69
Gujarat,Dohad,2017-2018,170,363,2.14
Gujarat,Dohad,2018-2019,358,470,1.31
Gujarat,Dohad,2019-2020,998,"2,371.00",2.38
Gujarat,Dohad,2020-2021,225,806,3.58
Gujarat,Dohad,2021-2022,323,7.4,0.02
Gujarat,Dohad,2022-2023,349,812,2.33
Gujarat,Gandhinagar,2013-2014,"30,358.00","1,17,113.00",3.86
Gujarat,Gandhinagar,2014-2015,"31,139.00","1,23,851.00",3.98
Gujarat,Gandhinagar,2015-2016,"24,994.00","1,02,422.00",4.1
Gujarat,Gandhinagar,2016-2017,"21,314.00","91,947.00",4.31
Gujarat,Gandhinagar,2017-2018,"23,593.00","98,567.00",4.18
Gujarat,Gandhinagar,2018-2019,"23,984.00","99,125.00",4.13
Gujarat,Gandhinagar,2019-2020,"23,588.00","75,734.00",3.21
Gujarat,Gandhinagar,2020-2021,"17,552.00","68,285.00",3.89
Gujarat,Gandhinagar,2021-2022,"20,381.00",771.79,0.04
Gujarat,Gandhinagar,2022-2023,"20,568.00","76,156.00",3.7
Gujarat,Gir somnath,2014-2015,"1,69,914.00","4,11,669.00",2.42
Gujarat,Gir somnath,2015-2016,"1,65,760.00","3,72,936.00",2.25
Gujarat,Gir somnath,2016-2017,"1,65,559.00","1,21,677.00",0.73
Gujarat,Gir somnath,2017-2018,"1,67,128.00","7,44,316.00",4.45
Gujarat,Gir somnath,2018-2019,"1,66,141.00","1,82,894.00",1.1
Gujarat,Gir somnath,2019-2020,"1,63,883.00","6,06,034.00",3.7
Gujarat,Gir somnath,2020-2021,"1,41,771.00","5,87,015.00",4.14
Gujarat,Gir somnath,2021-2022,"11,133.00",642.42,0.06
Gujarat,Gir somnath,2022-2023,"18,940.00","98,726.00",5.21
Gujarat,Jamnagar,2013-2014,"1,80,527.00","11,48,002.00",6.36
Gujarat,Jamnagar,2014-2015,"1,80,077.00","6,48,125.00",3.6
Gujarat,Jamnagar,2015-2016,"1,93,557.00","5,18,458.00",2.68
Gujarat,Jamnagar,2016-2017,"1,72,912.00","1,47,708.00",0.85
Gujarat,Jamnagar,2017-2018,"1,62,381.00","9,45,941.00",5.83
Gujarat,Jamnagar,2018-2019,"1,83,616.00","4,03,337.00",2.2
Gujarat,Jamnagar,2019-2020,"1,66,549.00","5,69,114.00",3.42
Gujarat,Jamnagar,2020-2021,"94,026.00","3,90,210.00",4.15
Gujarat,Jamnagar,2021-2022,"1,29,356.00","3,944.22",0.03
Gujarat,Jamnagar,2022-2023,"1,59,183.00","8,94,121.00",5.62
Gujarat,Junagadh,2013-2014,"78,265.00","5,34,784.00",6.83
Gujarat,Junagadh,2014-2015,"94,883.00","5,81,713.00",6.13
Gujarat,Junagadh,2015-2016,"81,823.00","1,74,445.00",2.13
Gujarat,Junagadh,2016-2017,"49,530.00","1,51,841.00",3.07
Gujarat,Junagadh,2017-2018,"53,136.00","1,23,515.00",2.32
Gujarat,Junagadh,2018-2019,"76,103.00","1,56,862.00",2.06
Gujarat,Junagadh,2019-2020,"74,892.00","1,70,003.00",2.27
Gujarat,Junagadh,2020-2021,"34,320.00","81,129.00",2.36
Gujarat,Junagadh,2021-2022,"34,750.00",871.42,0.03
Gujarat,Junagadh,2022-2023,"50,840.00","2,02,140.00",3.98
Gujarat,Kachchh,2013-2014,"78,502.00","4,07,212.00",5.19
Gujarat,Kachchh,2014-2015,"56,683.00","3,03,116.00",5.35
Gujarat,Kachchh,2015-2016,"48,838.00","2,63,853.00",5.4
Gujarat,Kachchh,2016-2017,"42,425.00","2,09,843.00",4.95
Gujarat,Kachchh,2017-2018,"58,608.00","2,50,929.00",4.28
Gujarat,Kachchh,2018-2019,"56,322.00","1,70,006.00",3.02
Gujarat,Kachchh,2019-2020,"60,519.00","1,83,996.00",3.04
Gujarat,Kachchh,2020-2021,"64,279.00","1,77,137.00",2.76
Gujarat,Kachchh,2021-2022,"54,626.00","2,068.09",0.04
Gujarat,Kachchh,2022-2023,"67,547.00","3,20,183.00",4.74
Gujarat,Kheda,2013-2014,"27,991.00","81,023.00",2.89
Gujarat,Kheda,2014-2015,"24,656.00","87,163.00",3.54
Gujarat,Kheda,2015-2016,"22,305.00","79,427.00",3.56
Gujarat,Kheda,2016-2017,"16,181.00","53,606.00",3.31
Gujarat,Kheda,2017-2018,"17,973.00","51,847.00",2.88
Gujarat,Kheda,2018-2019,"18,561.00","77,440.00",4.17
Gujarat,Kheda,2019-2020,"19,173.00","60,383.00",3.15
Gujarat,Kheda,2020-2021,"16,345.00","52,427.00",3.21
Gujarat,Kheda,2021-2022,"13,628.00",432.52,0.03
Gujarat,Kheda,2022-2023,"15,617.00","54,062.00",3.46
Gujarat,Mahesana,2013-2014,"51,257.00","1,85,018.00",3.61
Gujarat,Mahesana,2014-2015,"58,844.00","2,24,109.00",3.81
Gujarat,Mahesana,2015-2016,"43,231.00","1,51,496.00",3.5
Gujarat,Mahesana,2016-2017,"32,671.00","1,39,114.00",4.26
Gujarat,Mahesana,2017-2018,"42,262.00","1,83,417.00",4.34
Gujarat,Mahesana,2018-2019,"34,673.00","1,45,035.00",4.18
Gujarat,Mahesana,2019-2020,"38,206.00","1,22,585.00",3.21
Gujarat,Mahesana,2020-2021,"35,602.00","1,37,285.00",3.86
Gujarat,Mahesana,2021-2022,"32,246.00","1,208.21",0.04
Gujarat,Mahesana,2022-2023,"38,131.00","1,56,044.00",4.09
Gujarat,Mahisagar,2014-2015,"11,455.00","38,011.00",3.32
Gujarat,Mahisagar,2015-2016,"10,260.00","35,078.00",3.42
Gujarat,Mahisagar,2016-2017,"12,214.00","32,565.00",2.67
Gujarat,Mahisagar,2017-2018,"7,980.00","31,917.00",4.0
Gujarat,Mahisagar,2018-2019,"7,626.00","15,945.00",2.09
Gujarat,Mahisagar,2019-2020,"6,351.00","22,415.00",3.53
Gujarat,Mahisagar,2020-2021,"5,190.00","17,133.00",3.3
Gujarat,Mahisagar,2021-2022,"7,281.00",293.15,0.04
Gujarat,Mahisagar,2022-2023,"10,105.00","39,046.00",3.86
Gujarat,Morbi,2014-2015,"34,515.00","1,20,155.00",3.48
Gujarat,Morbi,2015-2016,"29,232.00","1,00,425.00",3.44
Gujarat,Morbi,2016-2017,"11,671.00","53,142.00",4.55
Gujarat,Morbi,2017-2018,"14,377.00","64,316.00",4.47
Gujarat,Morbi,2018-2019,"18,330.00","64,508.00",3.52
Gujarat,Morbi,2019-2020,"17,140.00","58,479.00",3.41
Gujarat,Morbi,2020-2021,"12,510.00","31,413.00",2.51
Gujarat,Morbi,2021-2022,"1,72,926.00","5,220.54",0.03
Gujarat,Morbi,2022-2023,"1,96,231.00","7,60,857.00",3.88
Gujarat,Narmada,2013-2014,"40,867.00","1,02,096.00",2.5
Gujarat,Narmada,2014-2015,"46,799.00","1,13,375.00",2.42
Gujarat,Narmada,2015-2016,"48,314.00","1,29,295.00",2.68
Gujarat,Narmada,2016-2017,"35,378.00","90,174.00",2.55
Gujarat,Narmada,2017-2018,"52,173.00","1,45,116.00",2.78
Gujarat,Narmada,2018-2019,"48,046.00","1,52,815.00",3.18
Gujarat,Narmada,2019-2020,"46,884.00","1,55,781.00",3.32
Gujarat,Narmada,2020-2021,"48,780.00","1,62,985.00",3.34
Gujarat,Narmada,2021-2022,"53,492.00","1,815.27",0.03
Gujarat,Narmada,2022-2023,"52,477.00","1,78,027.00",3.39
Gujarat,Panch mahals,2013-2014,"11,554.00","50,945.00",4.41
Gujarat,Panch mahals,2014-2015,"12,046.00","52,009.00",4.32
Gujarat,Panch mahals,2015-2016,"12,054.00","34,694.00",2.88
Gujarat,Panch mahals,2016-2017,"9,522.00","16,019.00",1.68
Gujarat,Panch mahals,2017-2018,"10,758.00","38,129.00",3.54
Gujarat,Panch mahals,2018-2019,"13,725.00","54,174.00",3.95
Gujarat,Panch mahals,2019-2020,"11,680.00","37,899.00",3.24
Gujarat,Panch mahals,2020-2021,"13,966.00","50,048.00",3.58
Gujarat,Panch mahals,2021-2022,"12,640.00",506.39,0.04
Gujarat,Panch mahals,2022-2023,"12,214.00","47,614.00",3.9
Gujarat,Patan,2013-2014,"62,895.00","1,80,207.00",2.87
Gujarat,Patan,2014-2015,"57,673.00","1,83,688.00",3.18
Gujarat,Patan,2015-2016,"33,298.00","1,15,471.00",3.47
Gujarat,Patan,2016-2017,"39,296.00","1,26,582.00",3.22
Gujarat,Patan,2017-2018,"39,795.00","1,33,587.00",3.36
Gujarat,Patan,2018-2019,"45,602.00","90,177.00",1.98
Gujarat,Patan,2019-2020,"44,726.00","87,484.00",1.96
Gujarat,Patan,2020-2021,"46,970.00","1,01,701.00",2.17
Gujarat,Patan,2021-2022,"46,193.00","1,353.77",0.03
Gujarat,Patan,2022-2023,"46,981.00","1,70,995.00",3.64
Gujarat,Porbandar,2013-2014,"8,920.00","26,856.00",3.01
Gujarat,Porbandar,2014-2015,"21,240.00","76,074.00",3.58
Gujarat,Porbandar,2015-2016,"20,580.00","24,220.00",1.18
Gujarat,Porbandar,2016-2017,"10,510.00","53,054.00",5.05
Gujarat,Porbandar,2017-2018,"9,995.00","41,453.00",4.15
Gujarat,Porbandar,2018-2019,"11,010.00","31,991.00",2.91
Gujarat,Porbandar,2019-2020,"9,310.00","24,333.00",2.61
Gujarat,Porbandar,2020-2021,"4,315.00","11,630.00",2.7
Gujarat,Porbandar,2021-2022,"4,120.00",62.89,0.02
Gujarat,Porbandar,2022-2023,"9,835.00","22,225.00",2.26
Gujarat,Rajkot,2013-2014,"2,77,053.00","15,05,162.00",5.43
Gujarat,Rajkot,2014-2015,"2,29,877.00","8,99,654.00",3.91
Gujarat,Rajkot,2015-2016,"2,33,171.00","1,80,034.00",0.77
Gujarat,Rajkot,2016-2017,"2,16,150.00","83,980.00",0.39
Gujarat,Rajkot,2017-2018,"2,38,643.00","13,33,286.00",5.59
Gujarat,Rajkot,2018-2019,"2,60,249.00","5,79,768.00",2.23
Gujarat,Rajkot,2019-2020,"2,64,206.00","11,36,131.00",4.3
Gujarat,Rajkot,2020-2021,"2,00,130.00","7,82,695.00",3.91
Gujarat,Rajkot,2021-2022,"1,98,220.00","6,487.41",0.03
Gujarat,Rajkot,2022-2023,"2,33,606.00","10,90,689.00",4.67
Gujarat,Sabar kantha,2013-2014,"1,26,100.00","2,81,916.00",2.24
Gujarat,Sabar kantha,2014-2015,"74,144.00","2,50,976.00",3.38
Gujarat,Sabar kantha,2015-2016,"76,680.00","2,54,760.00",3.32
Gujarat,Sabar kantha,2016-2017,"64,039.00","1,92,599.00",3.01
Gujarat,Sabar kantha,2017-2018,"79,805.00","3,30,491.00",4.14
Gujarat,Sabar kantha,2018-2019,"78,662.00","2,37,348.00",3.02
Gujarat,Sabar kantha,2019-2020,"57,741.00","1,44,657.00",2.51
Gujarat,Sabar kantha,2020-2021,"42,505.00","1,55,684.00",3.66
Gujarat,Sabar kantha,2021-2022,"42,329.00","1,374.93",0.03
Gujarat,Sabar kantha,2022-2023,"48,862.00","1,82,617.00",3.74
Gujarat,Surat,2013-2014,"3,257.00","13,051.00",4.01
Gujarat,Surat,2014-2015,"6,718.00","22,016.00",3.28
Gujarat,Surat,2015-2016,"6,272.00","20,700.00",3.3
Gujarat,Surat,2016-2017,"2,884.00","10,615.00",3.68
Gujarat,Surat,2017-2018,"4,341.00","31,617.00",7.28
Gujarat,Surat,2018-2019,"5,423.00","34,871.00",6.43
Gujarat,Surat,2019-2020,"4,352.00","17,009.00",3.91
Gujarat,Surat,2020-2021,"4,590.00","13,457.00",2.93
Gujarat,Surat,2021-2022,"4,460.00",174.64,0.04
Gujarat,Surat,2022-2023,"4,301.00","12,444.00",2.89
Gujarat,Surendranagar,2013-2014,"4,07,118.00","13,43,765.00",3.3
Gujarat,Surendranagar,2014-2015,"3,67,402.00","11,77,786.00",3.21
Gujarat,Surendranagar,2015-2016,"3,71,413.00","12,84,983.00",3.46
Gujarat,Surendranagar,2016-2017,"3,59,725.00","7,81,191.00",2.17
Gujarat,Surendranagar,2017-2018,"3,96,061.00","13,29,601.00",3.36
Gujarat,Surendranagar,2018-2019,"3,47,395.00","7,75,667.00",2.23
Gujarat,Surendranagar,2019-2020,"3,55,091.00","8,94,755.00",2.52
Gujarat,Surendranagar,2020-2021,"3,30,182.00","9,53,048.00",2.89
Gujarat,Surendranagar,2021-2022,"3,34,675.00","11,984.99",0.04
Gujarat,Surendranagar,2022-2023,"4,05,612.00","13,91,945.00",3.43
Gujarat,Tapi,2013-2014,"11,497.00","36,490.00",3.17
Gujarat,Tapi,2014-2015,"8,404.00","26,078.00",3.1
Gujarat,Tapi,2015-2016,"5,971.00","14,552.00",2.44
Gujarat,Tapi,2016-2017,"1,922.00","6,554.00",3.41
Gujarat,Tapi,2017-2018,"8,208.00","33,751.00",4.11
Gujarat,Tapi,2018-2019,"7,269.00","28,499.00",3.92
Gujarat,Tapi,2019-2020,"9,400.00","38,843.00",4.13
Gujarat,Tapi,2020-2021,"9,177.00","29,858.00",3.25
Gujarat,Tapi,2021-2022,"10,855.00",438.15,0.04
Gujarat,Tapi,2022-2023,"11,543.00","42,718.00",3.7
Gujarat,Vadodara,2013-2014,"2,07,820.00","7,82,175.00",3.76
Gujarat,Vadodara,2014-2015,"1,08,653.00","3,80,109.00",3.5
Gujarat,Vadodara,2015-2016,"84,874.00","2,56,938.00",3.03
Gujarat,Vadodara,2016-2017,"65,027.00","2,46,573.00",3.79
Gujarat,Vadodara,2017-2018,"84,076.00","4,65,457.00",5.54
Gujarat,Vadodara,2018-2019,"81,044.00","4,03,388.00",4.98
Gujarat,Vadodara,2019-2020,"79,735.00","3,66,344.00",4.59
Gujarat,Vadodara,2020-2021,"79,277.00","3,90,761.00",4.93
Gujarat,Vadodara,2021-2022,"74,944.00","3,676.12",0.05
Gujarat,Vadodara,2022-2023,"81,686.00","4,38,117.00",5.36
Haryana,Bhiwani,2013-2014,"60,000.00","1,85,000.00",3.08
Haryana,Bhiwani,2014-2015,"97,000.00","2,52,000.00",2.6
Haryana,Bhiwani,2015-2016,"93,000.00","1,83,000.00",1.97
Haryana,Bhiwani,2016-2017,"87,600.00","2,66,900.00",3.05
Haryana,Bhiwani,2017-2018,"86,400.00","2,04,200.00",2.36
Haryana,Bhiwani,2018-2019,"1,03,100.00","1,94,700.00",1.89
Haryana,Bhiwani,2019-2020,"1,00,900.00","2,65,300.00",2.63
Haryana,Bhiwani,2020-2021,"82,050.00",112.94,0.0
Haryana,Bhiwani,2021-2022,"82,054.00","1,13,000.00",1.38
Haryana,Bhiwani,2022-2023,"97,290.00","1,91,740.00",1.97
Haryana,Charki dadri,2017-2018,"27,600.00","45,300.00",1.64
Haryana,Charki dadri,2018-2019,"36,100.00","68,200.00",1.89
Haryana,Charki dadri,2019-2020,"32,400.00","74,900.00",2.31
Haryana,Charki dadri,2020-2021,"36,100.00",68.8,0.0
Haryana,Charki dadri,2021-2022,"26,408.00","50,300.00",1.9
Haryana,Charki dadri,2022-2023,"18,810.00","39,260.00",2.09
Haryana,Faridabad,2016-2017,100,400,4.0
Haryana,Faridabad,2017-2018,200,500,2.5
Haryana,Faridabad,2018-2019,500,"1,200.00",2.4
Haryana,Faridabad,2019-2020,700,"2,100.00",3.0
Haryana,Faridabad,2020-2021,"66,400.00",248.41,0.0
Haryana,Faridabad,2021-2022,780,"2,800.00",3.59
Haryana,Faridabad,2022-2023,380,760,2.0
Haryana,Fatehabad,2013-2014,"77,000.00","3,48,000.00",4.52
Haryana,Fatehabad,2014-2015,"79,000.00","3,03,000.00",3.84
Haryana,Fatehabad,2015-2016,"73,000.00","89,000.00",1.22
Haryana,Fatehabad,2016-2017,"67,400.00","2,72,000.00",4.04
Haryana,Fatehabad,2017-2018,"71,200.00","1,89,500.00",2.66
Haryana,Fatehabad,2018-2019,"66,700.00","2,31,900.00",3.48
Haryana,Fatehabad,2019-2020,"65,700.00","2,52,400.00",3.84
Haryana,Fatehabad,2020-2021,"66,940.00",237.44,0.0
Haryana,Fatehabad,2021-2022,"63,353.00","2,24,700.00",3.55
Haryana,Fatehabad,2022-2023,"53,340.00","1,15,060.00",2.16
Haryana,Gurgaon,2015-2016,"1,000.00","2,000.00",2.0
Haryana,Gurgaon,2016-2017,700,"1,200.00",1.71
Haryana,Gurgaon,2017-2018,"1,800.00","4,300.00",2.39
Haryana,Gurgaon,2018-2019,"2,500.00","7,500.00",3.0
Haryana,Gurgaon,2019-2020,"5,800.00","18,400.00",3.17
Haryana,Gurgaon,2020-2021,"4,700.00",14.9,0.0
Haryana,Gurgaon,2021-2022,"4,845.00","15,400.00",3.18
Haryana,Gurgaon,2022-2023,"1,850.00","4,740.00",2.56
Haryana,Hisar,2013-2014,"1,42,000.00","4,19,000.00",2.95
Haryana,Hisar,2014-2015,"1,55,000.00","3,40,000.00",2.19
Haryana,Hisar,2015-2016,"1,30,000.00","2,11,000.00",1.62
Haryana,Hisar,2016-2017,"1,14,200.00","4,18,500.00",3.66
Haryana,Hisar,2017-2018,"1,31,600.00","3,78,400.00",2.88
Haryana,Hisar,2018-2019,"1,42,800.00","4,20,800.00",2.95
Haryana,Hisar,2019-2020,"1,43,600.00","4,60,400.00",3.21
Haryana,Hisar,2020-2021,"1,45,720.00",324.87,0.0
Haryana,Hisar,2021-2022,"1,27,688.00","2,84,600.00",2.23
Haryana,Hisar,2022-2023,"1,18,300.00","1,52,280.00",1.29
Haryana,Jhajjar,2013-2014,"2,000.00","5,000.00",2.5
Haryana,Jhajjar,2014-2015,"5,000.00","15,000.00",3.0
Haryana,Jhajjar,2015-2016,"7,000.00","18,000.00",2.57
Haryana,Jhajjar,2016-2017,"5,500.00","16,900.00",3.07
Haryana,Jhajjar,2017-2018,"7,500.00","22,100.00",2.95
Haryana,Jhajjar,2018-2019,"10,600.00","32,200.00",3.04
Haryana,Jhajjar,2019-2020,"13,300.00","39,000.00",2.93
Haryana,Jhajjar,2020-2021,"14,970.00",47.99,0.0
Haryana,Jhajjar,2021-2022,"11,712.00","37,500.00",3.2
Haryana,Jhajjar,2022-2023,"8,510.00","22,360.00",2.63
Haryana,Jind,2013-2014,"73,000.00","2,31,000.00",3.16
Haryana,Jind,2014-2015,"76,000.00","2,14,000.00",2.82
Haryana,Jind,2015-2016,"72,000.00","75,000.00",1.04
Haryana,Jind,2016-2017,"58,400.00","1,72,800.00",2.96
Haryana,Jind,2017-2018,"62,500.00","1,72,200.00",2.76
Haryana,Jind,2018-2019,"61,200.00","1,62,400.00",2.65
Haryana,Jind,2019-2020,"61,600.00","2,09,400.00",3.4
Haryana,Jind,2020-2021,70,0.23,0.0
Haryana,Jind,2021-2022,"49,677.00","1,63,600.00",3.29
Haryana,Jind,2022-2023,"26,230.00","38,330.00",1.46
Haryana,Kaithal,2013-2014,"11,000.00","47,000.00",4.27
Haryana,Kaithal,2014-2015,"10,000.00","33,000.00",3.3
Haryana,Kaithal,2015-2016,"11,000.00","14,000.00",1.27
Haryana,Kaithal,2016-2017,"8,000.00","18,100.00",2.26
Haryana,Kaithal,2017-2018,"7,200.00","22,200.00",3.08
Haryana,Kaithal,2018-2019,"6,500.00","18,500.00",2.85
Haryana,Kaithal,2019-2020,"4,800.00","13,500.00",2.81
Haryana,Kaithal,2020-2021,"6,100.00",20.56,0.0
Haryana,Kaithal,2021-2022,"5,558.00","18,700.00",3.36
Haryana,Kaithal,2022-2023,"2,600.00","6,550.00",2.52
Haryana,Karnal,2016-2017,100,400,4.0
Haryana,Karnal,2021-2022,28,100,3.57
Haryana,Karnal,2022-2023,10,20,2.0
Haryana,Mahendragarh,2013-2014,"4,000.00","12,000.00",3.0
Haryana,Mahendragarh,2014-2015,"7,000.00","22,000.00",3.14
Haryana,Mahendragarh,2015-2016,"17,000.00","35,000.00",2.06
Haryana,Mahendragarh,2016-2017,"14,500.00","50,200.00",3.46
Haryana,Mahendragarh,2017-2018,"25,900.00","78,100.00",3.02
Haryana,Mahendragarh,2018-2019,"32,400.00","1,01,200.00",3.12
Haryana,Mahendragarh,2019-2020,"23,400.00","74,600.00",3.19
Haryana,Mahendragarh,2020-2021,"18,400.00",38.32,0.0
Haryana,Mahendragarh,2021-2022,"16,884.00","35,200.00",2.08
Haryana,Mahendragarh,2022-2023,"17,170.00","53,070.00",3.09
Haryana,Mewat,2014-2015,"1,000.00","3,000.00",3.0
Haryana,Mewat,2015-2016,"3,000.00","5,000.00",1.67
Haryana,Mewat,2016-2017,"2,900.00","7,200.00",2.48
Haryana,Mewat,2017-2018,"5,100.00","15,900.00",3.12
Haryana,Mewat,2018-2019,"5,600.00","18,600.00",3.32
Haryana,Mewat,2019-2020,"8,200.00","28,600.00",3.49
Haryana,Mewat,2020-2021,"5,490.00",18.05,0.0
Haryana,Mewat,2021-2022,"3,592.00","11,800.00",3.29
Haryana,Mewat,2022-2023,"1,730.00","5,430.00",3.14
Haryana,Palwal,2013-2014,"1,000.00","4,000.00",4.0
Haryana,Palwal,2014-2015,"4,000.00","12,000.00",3.0
Haryana,Palwal,2015-2016,"6,000.00","10,000.00",1.67
Haryana,Palwal,2016-2017,"9,800.00","30,400.00",3.1
Haryana,Palwal,2017-2018,"16,600.00","38,500.00",2.32
Haryana,Palwal,2018-2019,"17,600.00","54,900.00",3.12
Haryana,Palwal,2019-2020,"26,600.00","90,900.00",3.42
Haryana,Palwal,2020-2021,"29,880.00",102.47,0.0
Haryana,Palwal,2021-2022,"23,419.00","80,300.00",3.43
Haryana,Palwal,2022-2023,"17,210.00","31,920.00",1.85
Haryana,Panipat,2016-2017,100,400,4.0
Haryana,Panipat,2020-2021,100,0.33,0.0
Haryana,Panipat,2021-2022,77,300,3.9
Haryana,Panipat,2022-2023,50,170,3.4
Haryana,Rewari,2013-2014,"1,000.00","3,000.00",3.0
Haryana,Rewari,2014-2015,"2,000.00","5,000.00",2.5
Haryana,Rewari,2015-2016,"7,000.00","8,000.00",1.14
Haryana,Rewari,2016-2017,"4,800.00","13,100.00",2.73
Haryana,Rewari,2017-2018,"7,800.00","22,100.00",2.83
Haryana,Rewari,2018-2019,"12,800.00","16,700.00",1.3
